OBJECTID,CSA2010,paa10,paa15,paa16,paa17,paa18,paa19,paa20,paa21,Shape__Area,Shape__Length
1,Allendale/Irvington/S. Hilton,88.16673861,86.86567164,87.4098758,90.28458687,88.71340056,89.07257292,85.21041273,88.19745223,63770461.78,38770.16557
2,Beechfield/Ten Hills/West Hills,78.86497065,78.07819053,78.66298421,75.31924427,76.67201712,77.98957442,74.90689398,71.14007711,47882527.71,37524.95053
3,Belair-Edison,86.89136426,88.69538462,85.32394702,85.65017261,85.32902435,83.99701201,86.21146835,87.43103135,44950030.47,31307.31484
4,Brooklyn/Curtis Bay/Hawkins Point,35.90535702,37.59742924,40.64758601,37.96124031,34.23394532,34.72124756,35.78158617,36.84716437,176077742.7,150987.7036
5,Canton,3.950617284,2.459839357,3.409924224,3.939466731,4.05154256,4.982422112,3.908241291,5.34196168,15408538.22,23338.61195
6,Cedonia/Frankford,78.53716517,75.60440488,78.52244792,80.56640625,83.02539934,83.59613739,82.59630372,81.41842827,71541340.31,39962.54983
7,Cherry Hill,95.13533285,88.92401358,88.78990349,87.46901339,87.96763223,88.39212947,89.12753469,90.28108623,29144181.35,22305.30207
8,Chinquapin Park/Belvedere,68.96596184,67.61206586,68.91203978,68.82840237,68.89918062,67.09820387,67.41931015,73.06432749,21022590.13,21705.41163
9,Orchard Ridge/Armistead,53.05552181,57.10513682,56.42841088,55.71413242,55.5706949,56.49274225,53.17740512,60.82545538,61243774.42,40104.41598
10,Clifton-Berea,96.30342313,94.48472602,93.8361627,93.66406336,93.04831833,90.81392614,89.9036558,89.99468509,23285233.93,24022.76462
11,Cross-Country/Cheswolde,20.35445757,19.13527397,18.55579226,19.93347772,21.61759225,20.65627079,22.90925604,24.23172289,38222018.32,26788.30188
12,Dickeyville/Franklintown,87.80785174,80.27048528,81.27982038,80.59501474,83.89191998,85.12269939,79.30283224,86.2043972,35719112.41,31637.81742
13,Dorchester/Ashburton,96.12251824,93.06913853,95.46671127,95.95103578,95.10532296,93.82050025,90.93956518,92.21646246,34118277.18,27136.07571
14,Downtown/Seton Hill,37.01520323,31.25317098,29.77608385,29.02188887,32.64159101,37.73758029,37.82811177,42.19049904,20736554.41,21565.85939
15,Edmondson Village,96.69620253,96.37021475,95.92090536,95.75980392,96.72008012,96.87034277,93.68391372,96.277884,23563061.04,21504.55136
16,Fells Point,7.788472176,5.380742605,5.40599455,5.578467549,5.424954792,6.281379003,6.551983456,9.742647059,12620515.72,27670.16992
17,Forest Park/Walbrook,94.8725759,95.00109866,94.41352298,95.0571091,93.70521542,93.32894242,89.83662211,93.00270514,37200535.03,36886.89978
18,Glen-Fallstaff,63.02802736,61.80483293,63.12073711,63.06396883,63.59679556,64.93843163,57.03938746,62.11973989,46995477.48,48549.00462
19,Greater Charles Village/Barclay,34.73247514,32.03672385,33.70269452,33.44336451,33.62816099,32.54231052,30.3411237,32.18048102,27051213.46,26454.26921
20,Greater Govans,90.85291639,89.71380784,89.54310839,90.01398601,89.99815123,88.73895277,86.49014907,87.96561605,22698495.72,22982.12571
21,Greater Mondawmin,96.18107702,94.35588109,94.11455596,94.00374079,94.21144605,93.66080319,87.4739523,95.82130902,33663448.28,31136.73189
22,Greater Roland Park/Poplar Hill,7.902941575,6.86351706,6.756406938,5.993442623,6.135298058,6.779199564,8.787587533,6.826065411,56688145.18,39862.7498
23,Greater Rosemont,96.61456981,97.44098266,96.61292263,96.81231266,97.19935985,97.3168963,94.17179946,96.55327103,42204384.54,32559.07622
24,Oliver/Johnson Square,95.83333333,94.66909375,94.15929204,93.97682414,93.99788472,94.06892867,93.21351546,92.35382309,19072287.82,20797.47346
25,Hamilton,56.46054453,62.7715578,63.1395003,61.67604212,60.14669927,58.87864942,62.19029941,65.27509839,45191100.56,27712.11109
26,Harbor East/Little Italy,57.9434067,58.4835631,55.81026274,52.09433298,55.76348796,56.02060528,44.10185001,45.59981994,10215859.08,18552.40758
27,Hamilton Hills,53.03759131,54.20733968,52.36888776,57.18180692,57.16495483,57.52130419,58.79027356,59.08080059,65360039.17,40019.1854
28,Highlandtown,8.882758621,8.947872486,8.910344828,10.55460863,8.031643872,7.875799574,6.41723356,8.15820389,11684191.12,14976.12385
29,Howard Park/West Arlington,94.32539318,93.77428219,93.46054094,94.060981,92.70898806,92.52180041,89.49499254,91.75682222,63262430.07,36034.49845
30,Inner Harbor/Federal Hill,11.48191365,12.84128413,13.57248521,13.88623151,11.56693865,12.30036855,10.77096006,11.91410945,24995836.26,43415.05955
31,Greater Lauraville,57.96463782,55.80958602,53.25569952,53.94058434,56.26487241,56.68545291,59.31649594,58.04648903,49665744.24,34419.67653
32,Loch Raven,87.57102737,90.029615,88.5370859,87.02097738,85.52420845,86.56458227,87.04187557,81.29003331,44147812.33,29314.33467
33,Madison/East End,90.25832155,88.08995003,88.07890223,87.89258079,85.3155528,86.10156043,77.46594453,79.78447688,8897845.192,13120.15872
34,Hampden/Remington,11.60570508,10.73430173,10.65622055,10.74268934,9.696417729,10.28999634,9.507697513,8.498950747,62441489.24,43152.6257
35,Midtown,32.1171771,29.95940983,31.38826746,30.89949847,30.72478654,34.03419886,29.89648517,32.58631922,23823949.93,25020.09697
36,Midway/Coldstream,95.56317539,95.02992732,92.71766598,91.80059036,91.89039885,93.26335217,90.53158393,97.15006305,17884471.29,22767.82742
37,Morrell Park/Violetville,17.58143686,18.05768249,22.24252709,22.0569042,26.62248343,27.78414153,28.36274395,26.33889377,67470845.99,44412.74513
38,Mount Washington/Coldspring,22.61996904,25.24347487,25.69027611,25.42644993,26.50342801,27.92584009,23.0224525,30.04625347,56943058.65,38539.76615
39,North Baltimore/Guilford/Homeland,11.83577645,15.90085686,17.67767305,16.12285151,15.94722175,15.38024326,12.1241348,18.01285861,74923987.69,42904.22214
40,Northwood,88.6438743,85.71007139,84.55835505,84.4943564,82.9258494,81.45120082,78.28390559,78.9746216,52743271.77,38889.89459
41,Oldtown/Middle East,89.49206666,88.31448573,87.63309672,87.2176483,86.06279168,85.62806874,77.49025877,80.85266773,24585968.23,23866.32818
42,Greektown/Bayview,12.15639032,14.25097276,13.81475667,12.55463592,11.74260216,8.958742633,10.05042601,6.869280307,89894372.21,47825.86293
43,Patterson Park North & East,38.01635851,34.16908413,31.23338106,32.18115124,33.63147179,35.32030484,27.84916201,34.26341139,14507643.2,21786.37466
44,Penn North/Reservoir Hill,90.33926355,84.98487141,84.93204263,83.99091683,84.53887884,84.76602762,82.24727453,83.78579793,41059796.68,29078.8385
45,Pimlico/Arlington/Hilltop,94.35511171,95.99520794,95.18017609,95.21241366,94.72865201,93.62388184,90.68899317,92.17454021,30400962.01,24725.93407
46,Poppleton/The Terraces/Hollins Market,82.85489579,79.14971522,80.60438475,81.58874638,79.76878613,77.07648026,78.36294416,78.45188285,9302012.999,12334.02753
47,Sandtown-Winchester/Harlem Park,96.63668099,96.42995231,96.18490109,96.07694638,96.30803359,94.86550499,92.47934669,93.67359152,23672092.87,20987.14331
48,South Baltimore,2.669372463,2.437649711,1.726247112,2.295848227,2.354851807,2.389582494,4.605263158,3.459937565,46353935.43,68440.02583
49,Southeastern,25.36741214,26.97474476,33.08080808,29.58119517,31.43319838,29.36791427,24.54223272,21.02321582,111251478.5,102291.4805
50,Southern Park Heights,95.73923517,94.29375126,93.83084577,93.32221578,92.10362047,89.97451824,90.45028143,86.78817335,27876227.59,24052.22137
51,Southwest Baltimore,75.77299413,74.22536033,75.49158497,73.5735914,72.73706897,73.87119695,75.2293578,72.67291651,37766068.84,28355.56358
52,The Waverlies,78.73081388,75.84658799,76.18510158,71.82928304,73.4643431,69.71458091,68.50867375,72.7179091,20383750.54,18733.82688
53,Upton/Druid Heights,92.40959196,93.04934962,92.04057745,91.63565132,90.76923077,91.86895811,88.02153432,89.51415199,16976622.34,19389.30782
54,Pigtown/Carroll Park,49.02780302,53.6950421,60.1443769,57.65315565,55.60165975,55.70928488,51.76334554,54.32288992,39343262.04,36962.26009
55,Westport/Mount Winans/Lakeland,65.5148195,69.7817973,69.37820044,66.2120089,66.23172457,64.79163366,51.58583416,58.01371999,45494092.95,42573.12442